alias,canonical,entity_type
复合,复合（复合材料/复合结构）,Structure
固定机翼,固定翼,Structure
必要,必要条件,Concept
严重,严重故障,Concept
载荷作用,载荷,Parameter
本体,本体结构,Structure
成功,任务成功,Mission
反馈,反馈控制,ControlMethod
平行,平行度,Parameter
三角形,三角形（外形/几何结构）,Structure
释放,能量释放/释放过程,Mission
极限,极限条件,Performance
依据,依据（约束/准则）,Concept
步骤,计算步骤,Concept
对比,对比分析,Concept
隐身,隐身技术,Concept
喷气式,喷气式推进,Concept
作战,作战任务,Mission
仪器,测量仪器,Concept
加筋,加筋结构,Structure
伸缩,伸缩结构,Mechanism
机翼机翼,机翼,Structure
方程式,方程,Concept
小型,小型飞行器,Aircraft
马赫,马赫数,Parameter
载人,载人航天器,Aircraft
升力阻力,升力/阻力,Performance
上升,上升阶段,Mission
评价,性能评价,Performance
真空,真空环境,Concept
增升,增升装置/增升能力,Performance
场景,飞行场景,Mission
构架,机体构架/结构构架,Structure
骨架,机体骨架/结构骨架,Structure
通道,气动通道/流动通道,Structure
型号,飞行器型号,Aircraft
米格,米格（MiG）战斗机,Aircraft
轨道轨道,轨道,Mission
手册,飞行手册/技术手册,Document
形态,外形/形态,Concept
分层,分层结构,Structure
鲁棒,鲁棒性,Performance
历程,飞行历程,Mission
载荷载荷,载荷,Performance
微型,微型飞行器,Aircraft
被动,被动控制,ControlMethod
方位,方位角,Parameter
静止,静止状态,Concept
锥形,锥形构型,Concept
产生升力,升力产生,Concept
中等,中等强度/中等水平,Performance
杆系,杆系结构,Structure
升降,升降（力/运动）,Concept
闭环,闭环控制,ControlMethod
联动,联动控制,ControlMethod
展长,翼展,Parameter
记忆合金,形状记忆合金,Concept
机翼变体,机翼变形,Mechanism
使用载荷,载荷,Performance
光滑,光滑表面,Concept
迎风,迎风方向,Concept
迟滞,迟滞效应,Concept
正向,正向方向,Concept
板式,板式结构,Structure
折叠变体飞行器气动,折叠变体飞行器气动特性,Performance
舱内,舱内环境,Mission
波纹,波纹结构/波纹面,Structure
机翼气动,机翼气动特性,Performance
机翼机身,机翼与机身,Structure
重复使用运载,重复使用运载系统,Concept
真实气体,真实气体模型,Concept
转角,偏转角,Parameter
根比,根梢比,Parameter
定常,定常工况,Concept
名义,名义值,Parameter
回收,飞行器回收,Mission
长细,长细比,Parameter
机翼处于不同位置,机翼位置,Structure
伺服,伺服系统,ControlMethod
偏心,偏心距,Parameter
梯形,梯形翼型,Concept
航天器运动,航天器运动学,Concept
大地,大地坐标系,Concept
翅膀变形,机翼变形,Mechanism
总体参数,总体设计参数,Parameter
冷却,冷却系统,Mechanism
状态空间,状态空间模型,ControlMethod
太空,太空环境,Mission
薄翼,薄翼理论,Concept
润滑,润滑系统,Mechanism
滚动,滚转运动,Concept
无人,无人飞行器,Aircraft
沿展,展向,Parameter
变后掠翼,可变后掠翼,Mechanism
极大,极值,Performance
线化,线性化,ControlMethod
飞机机翼,机翼,Structure
飞机飞行,飞行,Mission
品质,品质因数,Performance
叠加,叠加原理,Concept
长航,长航时,Performance
微小,微小量,Parameter
通过试验,试验验证,Concept
仪器设备,测量仪器与设备,Concept
姿态稳定,姿态稳定性,Performance
转弯,转弯机动,Mission
开环,开环控制,ControlMethod
攻击,迎角（攻击角）,Parameter
圆锥,圆锥体,Structure
机身机翼,机身与机翼,Structure
拉格朗,拉格朗日,Concept
位置速度,位置与速度,Parameter
展弦比飞机,展弦比飞机（高展弦比翼型）,Aircraft
定性,定性分析,Concept
梁式,梁式结构,Structure
机翼副翼,副翼,Structure
自由分子,自由分子流,Concept
翼身,翼身耦合,Concept
机翼折叠,机翼折叠机构,Mechanism
武器,武器载荷,Concept
非对称,非对称构型,Concept
并联,并联系统,Concept
飞翼,飞翼式布局飞行器,Aircraft
飞机起飞,起飞阶段,Mission
机翼活动,机翼可动部件,Structure
稀薄,稀薄气体,Concept
串联,串联系统,Concept
适应度,适应度函数,Performance
飞行器外形,飞行器外形设计,Concept
侧面,侧向面,Structure
滑动,滑移,Concept
实部,复数实部,Parameter
翼载,翼载荷,Parameter
力矩力矩,力矩,Parameter
椭圆形,椭圆形翼型/几何形状,Concept
应力应变,应力-应变,Concept
受压,受压状态,Concept
弹道式,弹道式飞行,Mission
铸造,铸造工艺,Concept
空天,空天飞行,Concept
工装,工装夹具,Concept
陶瓷,陶瓷材料,Concept
危险,危险性/风险,Concept
鸭式,鸭式布局,Aircraft
轻质,轻质设计,Performance
原准机,原准机/原准弹,Concept
追踪,目标追踪/跟踪,ControlMethod
发动机工作,发动机工作状态,Concept
阻比,阻力比/升阻比,Performance
无尾,无尾布局,Aircraft
马赫数变化,马赫数变化量,Parameter
玻璃纤维,玻璃纤维材料,Concept
翼展机翼,翼展机翼/展向机翼,Structure
涡面,涡面/涡结构边界,Concept
低空,低空飞行,Mission
地球静止,地球静止轨道,Mission
铺放,铺放工艺,Concept
终端,终端阶段,Mission
气动力驱动变体,气动力驱动变形,Mechanism
机翼活动机翼,活动机翼,Structure
记录,数据记录,Concept
初值,初始值,Parameter
火工,火工装置,Concept
一阶,一阶模型,Concept
无限翼展斜置,无限翼展斜置翼,Concept
模量,弹性模量,Parameter
环氧,环氧树脂,Concept
对流,对流换热,Concept
守恒,守恒规律,Concept
复合材料整体,复合材料整体结构,Structure
多体,多体系统,Concept
机翼固定,机翼固定方式,Mechanism
解锁,解锁机构,Mechanism
构型双翼,双翼构型,Aircraft
单翼双翼,单翼/双翼,Aircraft
着陆时,着陆阶段,Mission
辨识,系统辨识,ControlMethod
恒定,恒定工况,Concept
高度速度,高度-速度,Performance
铅垂,铅垂方向,Concept
型机,型号,Aircraft
之间夹角,夹角,Parameter
形状记忆,形状记忆材料,Concept
复合材料低温,复合材料低温性能,Performance
机翼低速,机翼低速气动,Performance
延迟,时延,Parameter
固定机翼活动机翼,固定机翼-活动机翼构型,Mechanism
平移,平移运动,Concept
普朗特,普朗特（混合长度模型/普朗特模型）,Concept
力矩作用,力矩,Concept
之间角度,夹角,Parameter
处于不同位置双翼,可变位置双翼,Mechanism
操稳,操纵稳定性（操稳）,Concept
展弦比飞行器,展弦比飞行器（高/低展弦比飞行器）,Aircraft
重力加速度,重力加速度 g,Parameter
稳定性操纵性,稳定性与操纵性,Performance
uav,无人机,Aircraft
抗弯,抗弯能力,Performance
奇异,奇异性,Concept
相对地球,相对地球坐标,Parameter
粗糙度,表面粗糙度,Parameter
最大起飞,最大起飞质量,Performance
拉普拉斯,拉普拉斯变换,Concept
偏移,偏移量,Parameter
完整性,结构完整性,Concept
攻角变化,攻角变化量,Parameter
迎角变化,迎角变化量,Parameter
酚醛,酚醛树脂,Concept
泡沫,泡沫材料,Concept
可控,可控性,Performance
骨骼,骨架,Structure
开普勒,开普勒（定律/方程）,Concept
材料工艺,材料与工艺,Concept
地球静止轨道,地球同步静止轨道,Mission
液氧,液氧（LOX）,Parameter
静止轨道,地球同步静止轨道,Mission
等于零,等于零（取值为0）,Parameter
阿波罗,阿波罗计划,Concept
数目,数目（数量）,Parameter
预紧,预紧（预载/预紧力）,Parameter
阻力因数,阻力系数,Performance
翼型低速,低速翼型,Structure
权重,权重（加权系数）,Parameter
昆虫鸟类,昆虫-鸟类仿生（昆虫鸟类）,Concept
攻角下,攻角,Parameter
机翼上下,机翼上下表面,Structure
锁紧,锁紧机构,Mechanism
成型工艺,成形工艺,Concept
活动机翼处于,活动机翼,Structure
亚声速空气动力,亚声速空气动力学,Performance
铆接,铆接连接,Structure
飞行轨道,飞行轨迹,Mission
细长,细长（细长体）,Concept
模块化,模块化设计,Concept
宏观,宏观尺度,Concept
隔离,隔离设计,Concept
喷射,喷射推进,Concept
智能变体,智能变体飞行器,Aircraft
纳米,纳米尺度,Concept
俯仰偏航,俯仰-偏航,Concept
弯矩扭矩,弯矩-扭矩,Parameter
