id,name,entity_type,source_doc
姿态,姿态,Concept,DOC001
转轴,转轴,Structure,DOC001
全机,全机,Concept,DOC001
坐标系,坐标系,Parameter,DOC001
坐标轴,坐标轴,Parameter,DOC001
方位,方位,Parameter,DOC001
姿态控制,姿态控制,ControlMethod,DOC001
金属材料,金属材料,Concept,DOC001
连杆,连杆,Mechanism,DOC001
关节,关节,Structure,DOC001
对比,对比,Concept,DOC001
矩形,矩形,Concept,DOC001
航天员,航天员,Concept,DOC001
推杆,推杆,Structure,DOC001
记录,记录,Concept,DOC001
平板,平板,Structure,DOC001
荷载,荷载,Parameter,DOC001
形态,形态,Concept,DOC001
翼型,翼型,Structure,DOC001
工况,工况,Mission,DOC001
动力特性,动力特性,Performance,DOC001
变体,变体,Aircraft,DOC001
热传导,热传导,Concept,DOC001
筋条,筋条,Structure,DOC001
二维,二维,Concept,DOC001
铺放,铺放,Concept,DOC001
滑翔机,滑翔机,Aircraft,DOC001
翼身融合,翼身融合,Concept,DOC001
升阻,升阻,Performance,DOC001
机动性,机动性,Performance,DOC001
完整性,完整性,Concept,DOC001
工作状态,工作状态,Concept,DOC001
原则,原则,Concept,DOC001
工作环境,工作环境,Mission,DOC001
工艺性,工艺性,Performance,DOC001
元件,元件,Structure,DOC001
传力路径,传力路径,Concept,DOC001
恢复,恢复,Concept,DOC001
形状,形状,Concept,DOC001
下降,下降,Mission,DOC001
限制,限制,Concept,DOC001
寿命,寿命,Performance,DOC001
速率,速率,Parameter,DOC001
验证试验,验证试验,Mission,DOC001
材料特性,材料特性,Concept,DOC001
校正,校正,ControlMethod,DOC001
受压,受压,Concept,DOC001
飞行器使用,飞行器使用,Mission,DOC001
受力,受力,Concept,DOC001
润滑,润滑,Mechanism,DOC001
裂纹,裂纹,Concept,DOC001
局部应力,局部应力,Parameter,DOC001
开裂,开裂,Concept,DOC001
分层,分层,Structure,DOC001
均匀,均匀,Performance,DOC001
机械加工,机械加工,Concept,DOC001
试样,试样,Concept,DOC001
差异,差异,Concept,DOC001
薄壁,薄壁,Structure,DOC001
高强度,高强度,Concept,DOC001
随机,随机,Concept,DOC001
载荷环境,载荷环境,Mission,DOC001
量级,量级,Parameter,DOC001
飞行环境,飞行环境,Mission,DOC001
变化规律,变化规律,Concept,DOC001
制动,制动,Mission,DOC001
常用,常用,Concept,DOC001
压缩,压缩,Concept,DOC001
扰动,扰动,Concept,DOC001
脉冲,脉冲,Concept,DOC001
稳态,稳态,Performance,DOC001
阵风,阵风,Parameter,DOC001
惯性,惯性,Concept,DOC001
组合体,组合体,Concept,DOC001
弹簧,弹簧,Structure,DOC001
工装,工装,Concept,DOC001
时刻,时刻,Parameter,DOC001
空间环境,空间环境,Mission,DOC001
干扰,干扰,Concept,DOC001
动态特性,动态特性,Performance,DOC001
频率,频率,Parameter,DOC001
真空,真空,Concept,DOC001
粒子,粒子,Concept,DOC001
环境因素,环境因素,Concept,DOC001
11Pa,11Pa,Parameter,DOC001
损失,损失,Performance,DOC001
热量,热量,Parameter,DOC001
太阳辐射,太阳辐射,Concept,DOC001
行星,行星,Concept,DOC001
反射,反射,Concept,DOC001
分子,分子,Concept,DOC001
物质,物质,Concept,DOC001
效能,效能,Performance,DOC001
缺陷,缺陷,Concept,DOC001
基体,基体,Structure,DOC001
使用载荷,使用载荷,Performance,DOC001
准则,准则,Concept,DOC001
外力,外力,Parameter,DOC001
质量分布,质量分布,Parameter,DOC001
阻尼,阻尼,Parameter,DOC001
弹性变形,弹性变形,Mechanism,DOC001
气动特性,气动特性,Performance,DOC001
导引,导引,ControlMethod,DOC001
相互作用,相互作用,Concept,DOC001
变量,变量,Parameter,DOC001
预测,预测,Concept,DOC001
疲劳寿命,疲劳寿命,Performance,DOC001
不确定性,不确定性,Concept,DOC001
气动参数,气动参数,Parameter,DOC001
误差,误差,Performance,DOC001
偏差,偏差,Performance,DOC001
工程设计,工程设计,Concept,DOC001
裕度,裕度,Performance,DOC001
定性,定性,Concept,DOC001
安全系数,安全系数,Performance,DOC001
文档,文档,Document,DOC001
要素,要素,Concept,DOC001
决策,决策,ControlMethod,DOC001
载荷情况,载荷情况,Performance,DOC001
失效概率,失效概率,Performance,DOC001
危险,危险,Concept,DOC001
假设,假设,Concept,DOC001
应力集中,应力集中,Performance,DOC001
应变,应变,Parameter,DOC001
最小,最小,Concept,DOC001
大气飞行,大气飞行,Mission,DOC001
幅值,幅值,Parameter,DOC001
容量,容量,Performance,DOC001
偏心,偏心,Parameter,DOC001
飞行包线,飞行包线,Mission,DOC001
临界,临界,Concept,DOC001
飞行阶段,飞行阶段,Mission,DOC001
气动弹性,气动弹性,Performance,DOC001
动态响应,动态响应,Performance,DOC001
重心,重心,Parameter,DOC001
偏移,偏移,Parameter,DOC001
非对称,非对称,Concept,DOC001
内力,内力,Parameter,DOC001
估算,估算,Concept,DOC001
自由度,自由度,Parameter,DOC001
失速,失速,Performance,DOC001
颤振,颤振,Performance,DOC001
分量,分量,Concept,DOC001
动量,动量,Parameter,DOC001
飞行轨道,飞行轨道,Mission,DOC001
输出,输出,Parameter,DOC001
边界,边界,Concept,DOC001
压差,压差,Parameter,DOC001
流动分离,流动分离,Mechanism,DOC001
公差,公差,Parameter,DOC001
陀螺,陀螺,Concept,DOC001
灵敏度,灵敏度,Performance,DOC001
参数变化,参数变化,Parameter,DOC001
非线性,非线性,Concept,DOC001
飞行员,飞行员,Mission,DOC001
传感器,传感器,Concept,DOC001
翼载,翼载,Parameter,DOC001
附件,附件,Structure,DOC001
喷流,喷流,Concept,DOC001
流速,流速,Parameter,DOC001
柔性,柔性,Concept,DOC001
增益,增益,Parameter,DOC001
30°,30°,Parameter,DOC001
设备安装,设备安装,Concept,DOC001
垫板,垫板,Structure,DOC001
操纵性,操纵性,Performance,DOC001
诱导,诱导,Concept,DOC001
单位质量,单位质量,Parameter,DOC001
外形尺寸,外形尺寸,Parameter,DOC001
头部,头部,Structure,DOC001
粗糙度,粗糙度,Parameter,DOC001
边界层,边界层,Concept,DOC001
加力,加力,Concept,DOC001
光滑,光滑,Concept,DOC001
加筋,加筋,Structure,DOC001
型材,型材,Structure,DOC001
比值,比值,Parameter,DOC001
材料工艺,材料工艺,Concept,DOC001
附加,附加,Performance,DOC001
流程,流程,Concept,DOC001
单元,单元,Structure,DOC001
矩阵,矩阵,Concept,DOC001
应力强度,应力强度,Parameter,DOC001
因子,因子,Concept,DOC001
拉伸,拉伸,Concept,DOC001
规律,规律,Concept,DOC001
试件,试件,Concept,DOC001
平均,平均,Parameter,DOC001
平均值,平均值,Performance,DOC001
渗漏,渗漏,Concept,DOC001
轨迹,轨迹,Concept,DOC001
滚动,滚动,Concept,DOC001
